Name,Type,HP,Attack,Defense,Sp.Atk,Sp.Def,Speed,Generation
Shelgon,Dragon,65,95,100,60,50,50,3
Salamence,Dragon,95,135,80,110,80,100,3
SalamenceMega Salamence,Dragon,95,145,130,120,90,120,3
Beldum,Steel,40,55,80,35,60,30,3
Metang,Steel,60,75,100,55,80,50,3
Metagross,Steel,80,135,130,95,90,70,3
MetagrossMega Metagross,Steel,80,145,150,105,110,110,3
Regirock,Rock,80,100,200,50,100,50,3
Regice,Ice,80,50,100,100,200,50,3
Registeel,Steel,80,75,150,75,150,50,3
Latias,Dragon,80,80,90,110,130,110,3
LatiasMega Latias,Dragon,80,100,120,140,150,110,3
Latios,Dragon,80,90,80,130,110,110,3
LatiosMega Latios,Dragon,80,130,100,160,120,110,3
Kyogre,Water,100,100,90,150,140,90,3
KyogrePrimal Kyogre,Water,100,150,90,180,160,90,3
Groudon,Ground,100,150,140,100,90,90,3
GroudonPrimal Groudon,Ground,100,180,160,150,90,90,3
Rayquaza,Dragon,105,150,90,150,90,95,3
RayquazaMega Rayquaza,Dragon,105,180,100,180,100,115,3
Jirachi,Steel,100,100,100,100,100,100,3
DeoxysNormal Forme,Psychic,50,150,50,150,50,150,3
DeoxysAttack Forme,Psychic,50,180,20,180,20,150,3
DeoxysDefense Forme,Psychic,50,70,160,70,160,90,3
DeoxysSpeed Forme,Psychic,50,95,90,95,90,180,3
Turtwig,Grass,55,68,64,45,55,31,4
Grotle,Grass,75,89,85,55,65,36,4
Torterra,Grass,95,109,105,75,85,56,4
Chimchar,Fire,44,58,44,58,44,61,4
Monferno,Fire,64,78,52,78,52,81,4
Infernape,Fire,76,104,71,104,71,108,4
Piplup,Water,53,51,53,61,56,40,4
Prinplup,Water,64,66,68,81,76,50,4
Empoleon,Water,84,86,88,111,101,60,4
Starly,Normal,40,55,30,30,30,60,4
Staravia,Normal,55,75,50,40,40,80,4
Staraptor,Normal,85,120,70,50,60,100,4
Bidoof,Normal,59,45,40,35,40,31,4
Bibarel,Normal,79,85,60,55,60,71,4
Kricketot,Bug,37,25,41,25,41,25,4
Kricketune,Bug,77,85,51,55,51,65,4
Shinx,Electric,45,65,34,40,34,45,4
Luxio,Electric,60,85,49,60,49,60,4
Luxray,Electric,80,120,79,95,79,70,4
Budew,Grass,40,30,35,50,70,55,4
Roserade,Grass,60,70,65,125,105,90,4
Cranidos,Rock,67,125,40,30,30,58,4
Rampardos,Rock,97,165,60,65,50,58,4
Shieldon,Rock,30,42,118,42,88,30,4
Bastiodon,Rock,60,52,168,47,138,30,4
Burmy,Bug,40,29,45,29,45,36,4
WormadamPlant Cloak,Bug,60,59,85,79,105,36,4
WormadamSandy Cloak,Bug,60,79,105,59,85,36,4
WormadamTrash Cloak,Bug,60,69,95,69,95,36,4
Mothim,Bug,70,94,50,94,50,66,4
Combee,Bug,30,30,42,30,42,70,4
Vespiquen,Bug,70,80,102,80,102,40,4
Pachirisu,Electric,60,45,70,45,90,95,4
Buizel,Water,55,65,35,60,30,85,4
Floatzel,Water,85,105,55,85,50,115,4
Cherubi,Grass,45,35,45,62,53,35,4
Cherrim,Grass,70,60,70,87,78,85,4
Shellos,Water,76,48,48,57,62,34,4
Gastrodon,Water,111,83,68,92,82,39,4
Ambipom,Normal,75,100,66,60,66,115,4
Drifloon,Ghost,90,50,34,60,44,70,4
Drifblim,Ghost,150,80,44,90,54,80,4
Buneary,Normal,55,66,44,44,56,85,4
Lopunny,Normal,65,76,84,54,96,105,4
LopunnyMega Lopunny,Normal,65,136,94,54,96,135,4
Mismagius,Ghost,60,60,60,105,105,105,4
Honchkrow,Dark,100,125,52,105,52,71,4
Glameow,Normal,49,55,42,42,37,85,4
Purugly,Normal,71,82,64,64,59,112,4
Chingling,Psychic,45,30,50,65,50,45,4
Stunky,Poison,63,63,47,41,41,74,4
Skuntank,Poison,103,93,67,71,61,84,4
Bronzor,Steel,57,24,86,24,86,23,4
Bronzong,Steel,67,89,116,79,116,33,4
Bonsly,Rock,50,80,95,10,45,10,4
Mime Jr.,Psychic,20,25,45,70,90,60,4
Happiny,Normal,100,5,5,15,65,30,4
Chatot,Normal,76,65,45,92,42,91,4
Spiritomb,Ghost,50,92,108,92,108,35,4
Gible,Dragon,58,70,45,40,45,42,4
Gabite,Dragon,68,90,65,50,55,82,4
Garchomp,Dragon,108,130,95,80,85,102,4
GarchompMega Garchomp,Dragon,108,170,115,120,95,92,4
Munchlax,Normal,135,85,40,40,85,5,4
Riolu,Fighting,40,70,40,35,40,60,4
Lucario,Fighting,70,110,70,115,70,90,4
LucarioMega Lucario,Fighting,70,145,88,140,70,112,4
Hippopotas,Ground,68,72,78,38,42,32,4
Hippowdon,Ground,108,112,118,68,72,47,4
Skorupi,Poison,40,50,90,30,55,65,4
Drapion,Poison,70,90,110,60,75,95,4
Croagunk,Poison,48,61,40,61,40,50,4
Toxicroak,Poison,83,106,65,86,65,85,4
Carnivine,Grass,74,100,72,90,72,46,4
Finneon,Water,49,49,56,49,61,66,4
Lumineon,Water,69,69,76,69,86,91,4
Mantyke,Water,45,20,50,60,120,50,4
Snover,Grass,60,62,50,62,60,40,4
Abomasnow,Grass,90,92,75,92,85,60,4
AbomasnowMega Abomasnow,Grass,90,132,105,132,105,30,4
Weavile,Dark,70,120,65,45,85,125,4
Magnezone,Electric,70,70,115,130,90,60,4
Lickilicky,Normal,110,85,95,80,95,50,4
Rhyperior,Ground,115,140,130,55,55,40,4
Tangrowth,Grass,100,100,125,110,50,50,4
Electivire,Electric,75,123,67,95,85,95,4
Magmortar,Fire,75,95,67,125,95,83,4
Togekiss,Fairy,85,50,95,120,115,80,4
Yanmega,Bug,86,76,86,116,56,95,4
Leafeon,Grass,65,110,130,60,65,95,4
Glaceon,Ice,65,60,110,130,95,65,4
Gliscor,Ground,75,95,125,45,75,95,4
Mamoswine,Ice,110,130,80,70,60,80,4
Porygon-Z,Normal,85,80,70,135,75,90,4
Gallade,Psychic,68,125,65,65,115,80,4
GalladeMega Gallade,Psychic,68,165,95,65,115,110,4
Probopass,Rock,60,55,145,75,150,40,4
Dusknoir,Ghost,45,100,135,65,135,45,4
Froslass,Ice,70,80,70,80,70,110,4
Rotom,Electric,50,50,77,95,77,91,4
RotomHeat Rotom,Electric,50,65,107,105,107,86,4
RotomWash Rotom,Electric,50,65,107,105,107,86,4
RotomFrost Rotom,Electric,50,65,107,105,107,86,4
RotomFan Rotom,Electric,50,65,107,105,107,86,4
RotomMow Rotom,Electric,50,65,107,105,107,86,4
Uxie,Psychic,75,75,130,75,130,95,4
Mesprit,Psychic,80,105,105,105,105,80,4
Azelf,Psychic,75,125,70,125,70,115,4
Dialga,Steel,100,120,120,150,100,90,4
Palkia,Water,90,120,100,150,120,100,4
Heatran,Fire,91,90,106,130,106,77,4
Regigigas,Normal,110,160,110,80,110,100,4
GiratinaAltered Forme,Ghost,150,100,120,100,120,90,4
GiratinaOrigin Forme,Ghost,150,120,100,120,100,90,4
Cresselia,Psychic,120,70,120,75,130,85,4
Phione,Water,80,80,80,80,80,80,4
Manaphy,Water,100,100,100,100,100,100,4
Darkrai,Dark,70,90,90,135,90,125,4
ShayminLand Forme,Grass,100,100,100,100,100,100,4
ShayminSky Forme,Grass,100,103,75,120,75,127,4
Arceus,Normal,120,120,120,120,120,120,4
Victini,Psychic,100,100,100,100,100,100,5
Snivy,Grass,45,45,55,45,55,63,5
Servine,Grass,60,60,75,60,75,83,5
Serperior,Grass,75,75,95,75,95,113,5
Tepig,Fire,65,63,45,45,45,45,5
Pignite,Fire,90,93,55,70,55,55,5
Emboar,Fire,110,123,65,100,65,65,5
Oshawott,Water,55,55,45,63,45,45,5
Dewott,Water,75,75,60,83,60,60,5
Samurott,Water,95,100,85,108,70,70,5
Patrat,Normal,45,55,39,35,39,42,5
Watchog,Normal,60,85,69,60,69,77,5
Lillipup,Normal,45,60,45,25,45,55,5
Herdier,Normal,65,80,65,35,65,60,5
Stoutland,Normal,85,110,90,45,90,80,5
Purrloin,Dark,41,50,37,50,37,66,5
Liepard,Dark,64,88,50,88,50,106,5
Pansage,Grass,50,53,48,53,48,64,5
